type;temps;clock;fen
debut;1637181275918359;1650;0
fenetre;1637181275919113;1755;1
fenetre;1637181275919262;1780;2
fenetre;1637181275919347;1790;3
fenetre;1637181275919404;1825;4
fenetre;1637181275919500;1836;5
fenetre;1637181275919506;1841;6
fenetre;1637181275919510;1845;7
fenetre;1637181275919583;1907;8
fenetre;1637181275919666;1919;9
fenetre;1637181275919704;1932;10
fenetre;1637181275919740;1951;11
fenetre;1637181275919779;1967;12
fenetre;1637181275919807;1983;13
fenetre;1637181275919827;2000;14
fenetre;1637181275919846;2013;15
fenetre;1637181275919991;2152;16
fenetre;1637181275919998;2159;17
fenetre;1637181275920018;2169;18
fenetre;1637181275920043;2178;19
fenetre;1637181275920079;2189;20
fenetre;1637181275920102;2200;21
fenetre;1637181275920131;2208;22
fenetre;1637181275920155;2217;23
fenetre;1637181275920192;2230;24
fenetre;1637181275920221;2242;25
fenetre;1637181275920242;2250;26
fenetre;1637181275920272;2259;27
fenetre;1637181275920306;2271;28
fenetre;1637181275920314;2278;29
fenetre;1637181275920349;2296;30
fenetre;1637181275920359;2306;31
fenetre;1637181275920620;2561;32
fenetre;1637181275920633;2573;33
fenetre;1637181275920639;2579;34
fenetre;1637181275920689;2592;35
fenetre;1637181275920777;2610;36
fenetre;1637181275920847;2636;37
fenetre;1637181275920894;2660;38
fenetre;1637181275920928;2676;39
fenetre;1637181275920960;2692;40
fenetre;1637181275920990;2705;41
fenetre;1637181275921039;2722;42
fenetre;1637181275921093;2741;43
fenetre;1637181275921112;2751;44
fenetre;1637181275921148;2768;45
fenetre;1637181275921170;2777;46
fenetre;1637181275921205;2791;47
fenetre;1637181275921229;2802;48
fenetre;1637181275921265;2817;49
fenetre;1637181275921318;2835;50
fenetre;1637181275921380;2854;51
fenetre;1637181275921428;2869;52
fenetre;1637181275921462;2884;53
fenetre;1637181275921490;2896;54
fenetre;1637181275921532;2913;55
fenetre;1637181275921598;2930;56
fenetre;1637181275921656;2944;57
fenetre;1637181275921718;2970;58
fenetre;1637181275921769;2987;59
fenetre;1637181275921834;3001;60
fenetre;1637181275921868;3015;61
fenetre;1637181275921899;3038;62
fenetre;1637181275921907;3046;63
fenetre;1637181275922344;3462;64
fenetre;1637181275922353;3470;65
fenetre;1637181275922357;3475;66
fenetre;1637181275922361;3478;67
fenetre;1637181275922365;3482;68
fenetre;1637181275922369;3485;69
fenetre;1637181275922373;3490;70
fenetre;1637181275922376;3494;71
fenetre;1637181275922380;3497;72
fenetre;1637181275922394;3504;73
fenetre;1637181275922419;3511;74
fenetre;1637181275922452;3522;75
fenetre;1637181275922484;3538;76
fenetre;1637181275922509;3552;77
fenetre;1637181275922530;3562;78
fenetre;1637181275922557;3571;79
fenetre;1637181275922583;3578;80
fenetre;1637181275922615;3588;81
fenetre;1637181275922639;3600;82
fenetre;1637181275922668;3612;83
fenetre;1637181275922713;3625;84
fenetre;1637181275922748;3642;85
fenetre;1637181275922775;3656;86
fenetre;1637181275922789;3668;87
fenetre;1637181275922825;3681;88
fenetre;1637181275922849;3691;89
fenetre;1637181275922879;3701;90
fenetre;1637181275922905;3709;91
fenetre;1637181275922933;3717;92
fenetre;1637181275922960;3725;93
fenetre;1637181275922986;3734;94
fenetre;1637181275923006;3742;95
fenetre;1637181275923024;3749;96
fenetre;1637181275923055;3755;97
fenetre;1637181275923073;3763;98
fenetre;1637181275923092;3769;99
timeout;1637181276927334;3794;0
fenetre;1637181276928405;4852;49
fenetre;1637181276928431;4878;50
fenetre;1637181276928439;4887;51
fenetre;1637181276928446;4893;52
fenetre;1637181276928452;4899;53
fenetre;1637181276928458;4905;54
fenetre;1637181276928560;4929;55
fenetre;1637181276928645;4956;56
fenetre;1637181276928656;4967;57
fenetre;1637181276928720;4988;58
fenetre;1637181276928748;5006;59
fenetre;1637181276928815;5024;60
fenetre;1637181276928900;5057;61
fenetre;1637181276928914;5071;62
fenetre;1637181276928965;5095;63
fenetre;1637181276929002;5114;64
fenetre;1637181276929053;5138;65
fenetre;1637181276929116;5167;66
fenetre;1637181276929130;5180;67
fenetre;1637181276929186;5204;68
fenetre;1637181276929235;5229;69
fenetre;1637181276929248;5242;70
fenetre;1637181276929294;5264;71
fenetre;1637181276929390;5361;72
fenetre;1637181276929402;5372;73
