type;temps;clock;fen
debut;1637181428860518;1878;0
fenetre;1637181428861345;1987;1
fenetre;1637181428861511;2015;2
fenetre;1637181428861603;2032;3
fenetre;1637181428861666;2072;4
fenetre;1637181428861745;2083;5
fenetre;1637181428861778;2095;6
fenetre;1637181428861793;2106;7
fenetre;1637181428861875;2177;8
fenetre;1637181428861934;2188;9
fenetre;1637181428861964;2197;10
fenetre;1637181428862002;2209;11
fenetre;1637181428862028;2222;12
fenetre;1637181428862059;2232;13
fenetre;1637181428862079;2241;14
fenetre;1637181428862094;2249;15
fenetre;1637181428862227;2371;16
fenetre;1637181428862241;2380;17
fenetre;1637181428862273;2391;18
fenetre;1637181428862303;2403;19
fenetre;1637181428862336;2413;20
fenetre;1637181428862363;2423;21
fenetre;1637181428862395;2434;22
fenetre;1637181428862427;2443;23
fenetre;1637181428862455;2452;24
fenetre;1637181428862488;2461;25
fenetre;1637181428862516;2470;26
fenetre;1637181428862551;2479;27
fenetre;1637181428862578;2488;28
fenetre;1637181428862610;2497;29
fenetre;1637181428862629;2506;30
fenetre;1637181428862645;2513;31
fenetre;1637181428862906;2765;32
fenetre;1637181428862913;2772;33
fenetre;1637181428862917;2776;34
fenetre;1637181428862922;2781;35
fenetre;1637181428862926;2784;36
fenetre;1637181428862930;2789;37
fenetre;1637181428862934;2793;38
fenetre;1637181428862969;2801;39
fenetre;1637181428863001;2812;40
fenetre;1637181428863032;2822;41
fenetre;1637181428863062;2832;42
fenetre;1637181428863091;2840;43
fenetre;1637181428863122;2849;44
fenetre;1637181428863151;2858;45
fenetre;1637181428863183;2866;46
fenetre;1637181428863211;2875;47
fenetre;1637181428863244;2885;48
fenetre;1637181428863273;2894;49
fenetre;1637181428863305;2903;50
fenetre;1637181428863333;2912;51
fenetre;1637181428863365;2920;52
fenetre;1637181428863393;2929;53
fenetre;1637181428863425;2938;54
fenetre;1637181428863454;2946;55
fenetre;1637181428863486;2955;56
fenetre;1637181428863516;2964;57
fenetre;1637181428863545;2973;58
fenetre;1637181428863579;2985;59
fenetre;1637181428863610;2994;60
fenetre;1637181428863641;3003;61
fenetre;1637181428863673;3017;62
fenetre;1637181428863691;3025;63
fenetre;1637181428864186;3512;64
fenetre;1637181428864192;3518;65
fenetre;1637181428864198;3524;66
fenetre;1637181428864203;3529;67
fenetre;1637181428864207;3532;68
