type;temps;clock;fen
debut;1637183708506699;1649;0
fenetre;1637183708507475;1760;1
fenetre;1637183708507660;1795;2
fenetre;1637183708507748;1807;3
fenetre;1637183708507806;1850;4
fenetre;1637183708507902;1863;5
fenetre;1637183708507929;1875;6
fenetre;1637183708507945;1884;7
fenetre;1637183708508018;1945;8
fenetre;1637183708508078;1956;9
ecn;1637183708508107;1968;0
fenetre;1637183708508169;2029;8
fenetre;1637183708508238;2042;9
fenetre;1637183708508276;2053;10
timeout;1637183709513009;2067;0
fenetre;1637183709513083;2141;5
fenetre;1637183709513372;2156;6
fenetre;1637183709513380;2165;7
fenetre;1637183709513384;2168;8
fenetre;1637183709513403;2179;9
fenetre;1637183709513479;2255;10
fenetre;1637183709513624;2268;11
fenetre;1637183709513662;2279;12
fenetre;1637183709513699;2291;13
fenetre;1637183709513725;2306;14
fenetre;1637183709513745;2319;15
timeout;1637183710518803;2346;0
fenetre;1637183710518994;2535;7
fenetre;1637183710519534;2586;8
fenetre;1637183710519708;2636;9
fenetre;1637183710519737;2665;10
fenetre;1637183710519800;2719;11
fenetre;1637183710519826;2743;12
fenetre;1637183710519866;2773;13
fenetre;1637183710520157;3046;14
fenetre;1637183710520473;3088;15
fenetre;1637183710520600;3141;16
fenetre;1637183710520696;3177;17
ecn;1637183710520716;3197;0
fenetre;1637183710520992;3473;15
fenetre;1637183710521126;3494;16
fenetre;1637183710521183;3512;17
fenetre;1637183710521234;3543;18
timeout;1637183711524702;3567;0
fenetre;1637183711524793;3658;9
fenetre;1637183711524998;3671;10
fenetre;1637183711525006;3679;11
fenetre;1637183711525030;3694;12
fenetre;1637183711525038;3702;13
fenetre;1637183711525050;3712;14
fenetre;1637183711525068;3719;15
fenetre;1637183711525096;3738;16
fenetre;1637183711525135;3756;17
fenetre;1637183711525276;3896;18
fenetre;1637183711525317;3912;19
timeout;1637183712530331;3940;0
fenetre;1637183712530553;4162;9
fenetre;1637183712531063;4208;10
fenetre;1637183712531087;4232;11
fenetre;1637183712531155;4272;12
fenetre;1637183712531301;4339;13
fenetre;1637183712531331;4368;14
fenetre;1637183712531365;4402;15
fenetre;1637183712531384;4421;16
fenetre;1637183712531471;4440;17
fenetre;1637183712531667;4636;18
fenetre;1637183712531859;4660;19
ecn;1637183712531873;4675;0
fenetre;1637183712532091;4893;17
fenetre;1637183712532100;4902;18
fenetre;1637183712532107;4908;19
fenetre;1637183712532113;4914;20
fenetre;1637183712532120;4920;21
fenetre;1637183712532126;4926;22
fenetre;1637183712532605;4944;23
fenetre;1637183712532617;4957;24
timeout;1637183713534770;4971;0
fenetre;1637183713534903;5103;12
fenetre;1637183713535134;5121;13
fenetre;1637183713535168;5144;14
fenetre;1637183713535201;5165;15
fenetre;1637183713535260;5195;16
fenetre;1637183713535291;5217;17
fenetre;1637183713535375;5245;18
fenetre;1637183713535420;5258;19
fenetre;1637183713535451;5269;20
fenetre;1637183713535478;5284;21
fenetre;1637183713535504;5299;22
ecn;1637183713535510;5305;0
fenetre;1637183713535694;5482;19
fenetre;1637183713535702;5491;20
fenetre;1637183713535707;5495;21
fenetre;1637183713535713;5501;22
fenetre;1637183713535744;5515;23
fenetre;1637183713535770;5528;24
timeout;1637183714537152;5550;0
