type;temps;clock;fen
debut;1637183102302524;1930;0
fenetre;1637183102303340;2048;1
fenetre;1637183102303502;2078;2
fenetre;1637183102303587;2092;3
fenetre;1637183102303650;2132;4
fenetre;1637183102303750;2149;5
fenetre;1637183102303759;2158;6
fenetre;1637183102303781;2168;7
fenetre;1637183102303861;2240;8
fenetre;1637183102303904;2252;9
timeout;1637183103307972;2263;0
fenetre;1637183103308040;2331;4
fenetre;1637183103308183;2344;5
fenetre;1637183103308220;2357;6
fenetre;1637183103308240;2369;7
fenetre;1637183103308321;2434;8
fenetre;1637183103308412;2450;9
fenetre;1637183103308441;2469;10
fenetre;1637183103308505;2483;11
fenetre;1637183103308531;2498;12
fenetre;1637183103308539;2506;13
fenetre;1637183103308559;2514;14
fenetre;1637183103308571;2521;15
fenetre;1637183103308694;2636;16
fenetre;1637183103308700;2641;17
timeout;1637183104313479;2681;0
fenetre;1637183104313631;2832;8
fenetre;1637183104313933;2857;9
fenetre;1637183104313974;2883;10
fenetre;1637183104314001;2902;11
fenetre;1637183104314030;2916;12
fenetre;1637183104314150;2962;13
fenetre;1637183104314168;2979;14
fenetre;1637183104314176;2987;15
fenetre;1637183104314384;3196;16
fenetre;1637183104314505;3224;17
fenetre;1637183104314563;3254;18
fenetre;1637183104314631;3289;19
fenetre;1637183104314645;3304;20
fenetre;1637183104314733;3330;21
fenetre;1637183104314747;3344;22
fenetre;1637183104314784;3358;23
fenetre;1637183104314814;3376;24
fenetre;1637183104314863;3405;25
fenetre;1637183104314925;3427;26
timeout;1637183105315639;3459;0
fenetre;1637183105315964;3783;13
fenetre;1637183105316343;3833;14
fenetre;1637183105316369;3859;15
fenetre;1637183105316499;3893;16
fenetre;1637183105316529;3924;17
fenetre;1637183105316768;3956;18
fenetre;1637183105316931;3991;19
fenetre;1637183105316989;4020;20
fenetre;1637183105317033;4049;21
fenetre;1637183105317095;4081;22
fenetre;1637183105317127;4108;23
fenetre;1637183105317138;4118;24
fenetre;1637183105317185;4133;25
fenetre;1637183105317474;4411;26
fenetre;1637183105317559;4445;27
fenetre;1637183105317573;4459;28
fenetre;1637183105317617;4476;29
timeout;1637183106322183;4513;0
fenetre;1637183106322492;4821;14
fenetre;1637183106322823;4867;15
fenetre;1637183106322886;4909;16
fenetre;1637183106322931;4934;17
fenetre;1637183106323040;4958;18
fenetre;1637183106323123;5008;19
fenetre;1637183106323195;5044;20
fenetre;1637183106323364;5122;21
fenetre;1637183106323398;5150;22
fenetre;1637183106323455;5169;23
fenetre;1637183106323505;5194;24
fenetre;1637183106323534;5215;25
fenetre;1637183106323563;5233;26
fenetre;1637183106323584;5246;27
fenetre;1637183106323911;5556;28
fenetre;1637183106323923;5567;29
fenetre;1637183106324032;5589;30
fenetre;1637183106324084;5621;31
timeout;1637183107326848;5652;0
fenetre;1637183107327193;5995;15
fenetre;1637183107327464;6033;16
fenetre;1637183107327566;6072;17
fenetre;1637183107327646;6122;18
fenetre;1637183107327674;6151;19
fenetre;1637183107327776;6179;20
fenetre;1637183107327848;6203;21
fenetre;1637183107327971;6229;22
fenetre;1637183107328048;6249;23
fenetre;1637183107328059;6260;24
fenetre;1637183107328102;6282;25
fenetre;1637183107328142;6312;26
timeout;1637183108331498;6344;0
fenetre;1637183108331819;6665;13
fenetre;1637183108332103;6705;14
fenetre;1637183108332225;6760;15
fenetre;1637183108332299;6809;16
fenetre;1637183108332372;6848;17
fenetre;1637183108332459;6899;18
fenetre;1637183108332545;6939;19
fenetre;1637183108332579;6966;20
fenetre;1637183108332621;6993;21
fenetre;1637183108332663;7020;22
fenetre;1637183108332699;7042;23
timeout;1637183109337799;7071;0
fenetre;1637183109338085;7355;11
fenetre;1637183109338442;7418;12
fenetre;1637183109338467;7442;13
fenetre;1637183109338546;7476;14
fenetre;1637183109338630;7524;15
fenetre;1637183109338696;7559;16
fenetre;1637183109338804;7603;17
fenetre;1637183109338886;7649;18
fenetre;1637183109338973;7716;19
fenetre;1637183109339014;7746;20
fenetre;1637183109339028;7759;21
timeout;1637183110339566;7784;0
fenetre;1637183110339805;8022;10
fenetre;1637183110340139;8054;11
fenetre;1637183110340292;8106;12
fenetre;1637183110340314;8129;13
fenetre;1637183110340387;8165;14
fenetre;1637183110340571;8349;15
fenetre;1637183110340580;8358;16
fenetre;1637183110340628;8374;17
fenetre;1637183110340691;8410;18
fenetre;1637183110340705;8424;19
fenetre;1637183110340929;8636;20
timeout;1637183111345797;8652;0
fenetre;1637183111345898;8753;10
fenetre;1637183111346155;8773;11
fenetre;1637183111346165;8783;12
fenetre;1637183111346170;8787;13
fenetre;1637183111346185;8797;14
fenetre;1637183111346190;8802;15
fenetre;1637183111346236;8817;16
fenetre;1637183111346250;8830;17
fenetre;1637183111346257;8837;18
fenetre;1637183111346309;8856;19
fenetre;1637183111346445;8991;20
fenetre;1637183111346518;9012;21
timeout;1637183112351191;9043;0
fenetre;1637183112351439;9289;10
fenetre;1637183112351754;9342;11
fenetre;1637183112351819;9390;12
fenetre;1637183112351899;9439;13
fenetre;1637183112351995;9485;14
fenetre;1637183112352117;9566;15
fenetre;1637183112352165;9606;16
fenetre;1637183112352225;9636;17
fenetre;1637183112352284;9663;18
fenetre;1637183112352347;9690;19
fenetre;1637183112352593;9905;20
fenetre;1637183112352765;9935;21
fenetre;1637183112352807;9968;22
fenetre;1637183112352946;9998;23
fenetre;1637183112352960;10011;24
fenetre;1637183112352997;10038;25
fenetre;1637183112353042;10057;26
timeout;1637183113357208;10086;0
fenetre;1637183113357532;10413;13
fenetre;1637183113357892;10480;14
fenetre;1637183113357919;10507;15
fenetre;1637183113358017;10537;16
fenetre;1637183113358191;10580;17
fenetre;1637183113358295;10622;18
fenetre;1637183113358394;10691;19
fenetre;1637183113358439;10711;20
fenetre;1637183113358481;10732;21
fenetre;1637183113358528;10751;22
fenetre;1637183113358606;10780;23
fenetre;1637183113358621;10795;24
fenetre;1637183113358653;10817;25
timeout;1637183114363044;10849;0
fenetre;1637183114363347;11152;12
fenetre;1637183114363649;11200;13
fenetre;1637183114363739;11255;14
fenetre;1637183114363819;11296;15
fenetre;1637183114363890;11345;16
fenetre;1637183114363988;11399;17
fenetre;1637183114364038;11449;18
fenetre;1637183114364114;11476;19
fenetre;1637183114364220;11552;20
fenetre;1637183114364268;11574;21
fenetre;1637183114364297;11597;22
fenetre;1637183114364345;11622;23
fenetre;1637183114364606;11882;24
fenetre;1637183114364783;11900;25
fenetre;1637183114364796;11914;26
timeout;1637183115369626;11941;0
fenetre;1637183115369957;12272;13
fenetre;1637183115370324;12323;14
fenetre;1637183115370508;12378;15
fenetre;1637183115370532;12402;16
fenetre;1637183115370634;12465;17
fenetre;1637183115370705;12492;18
fenetre;1637183115370742;12515;19
fenetre;1637183115370835;12541;20
fenetre;1637183115370876;12566;21
fenetre;1637183115370905;12584;22
fenetre;1637183115370955;12615;23
fenetre;1637183115370968;12629;24
timeout;1637183116374477;12654;0
fenetre;1637183116374762;12939;12
fenetre;1637183116375081;12993;13
fenetre;1637183116375106;13018;14
fenetre;1637183116375196;13067;15
fenetre;1637183116375267;13107;16
fenetre;1637183116375324;13133;17
fenetre;1637183116375425;13162;18
fenetre;1637183116375632;13194;19
fenetre;1637183116375748;13218;20
fenetre;1637183116375811;13239;21
fenetre;1637183116375848;13259;22
fenetre;1637183116375869;13272;23
fenetre;1637183116376165;13547;24
fenetre;1637183116376255;13581;25
fenetre;1637183116376331;13614;26
fenetre;1637183116376399;13644;27
fenetre;1637183116376453;13678;28
fenetre;1637183116376466;13691;29
fenetre;1637183116376520;13706;30
fenetre;1637183116376571;13722;31
fenetre;1637183116376613;13748;32
fenetre;1637183116376646;13768;33
fenetre;1637183116376690;13793;34
fenetre;1637183116376725;13817;35
timeout;1637183117380013;13847;0
fenetre;1637183117380406;14239;17
fenetre;1637183117380587;14287;18
fenetre;1637183117380671;14339;19
fenetre;1637183117380786;14382;20
fenetre;1637183117380809;14405;21
fenetre;1637183117380914;14441;22
fenetre;1637183117381051;14508;23
fenetre;1637183117381088;14536;24
fenetre;1637183117381186;14567;25
fenetre;1637183117381201;14581;26
fenetre;1637183117381329;14603;27
fenetre;1637183117381389;14627;28
fenetre;1637183117381450;14659;29
fenetre;1637183117381466;14674;30
fenetre;1637183117381541;14694;31
fenetre;1637183117381592;14726;32
fenetre;1637183117381675;14808;33
fenetre;1637183117382050;15184;34
fenetre;1637183117382060;15193;35
timeout;1637183118382173;15211;0
fenetre;1637183118382495;15533;17
fenetre;1637183118382780;15588;18
fenetre;1637183118382989;15629;19
fenetre;1637183118383128;15662;20
fenetre;1637183118383173;15687;21
fenetre;1637183118383239;15725;22
fenetre;1637183118383281;15754;23
fenetre;1637183118383340;15790;24
fenetre;1637183118383354;15803;25
fenetre;1637183118383412;15819;26
fenetre;1637183118383463;15846;27
fenetre;1637183118383493;15873;28
timeout;1637183119387478;15903;0
fenetre;1637183119387794;16218;14
fenetre;1637183119388090;16260;15
fenetre;1637183119388113;16283;16
fenetre;1637183119388207;16323;17
fenetre;1637183119388304;16376;18
fenetre;1637183119388381;16426;19
fenetre;1637183119388498;16470;20
fenetre;1637183119388588;16510;21
fenetre;1637183119388645;16531;22
fenetre;1637183119388766;16548;23
fenetre;1637183119388779;16561;24
timeout;1637183120393869;16587;0
fenetre;1637183120394185;16902;12
fenetre;1637183120394422;16941;13
fenetre;1637183120394528;16993;14
fenetre;1637183120394655;17044;15
fenetre;1637183120394712;17096;16
fenetre;1637183120394840;17161;17
fenetre;1637183120394864;17184;18
fenetre;1637183120394952;17209;19
fenetre;1637183120394994;17239;20
fenetre;1637183120395046;17259;21
fenetre;1637183120395078;17277;22
fenetre;1637183120395109;17303;23
fenetre;1637183120395394;17574;24
fenetre;1637183120395558;17607;25
fenetre;1637183120395572;17620;26
fenetre;1637183120395635;17637;27
fenetre;1637183120395677;17664;28
fenetre;1637183120395774;17692;29
fenetre;1637183120395802;17709;30
fenetre;1637183120395859;17724;31
fenetre;1637183120395898;17738;32
fenetre;1637183120395947;17753;33
fenetre;1637183120395992;17769;34
timeout;1637183121400355;17796;0
fenetre;1637183121400713;18152;17
fenetre;1637183121400931;18198;18
fenetre;1637183121400980;18240;19
fenetre;1637183121401042;18269;20
fenetre;1637183121401154;18299;21
fenetre;1637183121401228;18349;22
fenetre;1637183121401297;18387;23
fenetre;1637183121401534;18432;24
fenetre;1637183121401548;18447;25
fenetre;1637183121401584;18465;26
fenetre;1637183121401643;18502;27
fenetre;1637183121401680;18534;28
timeout;1637183122403269;18568;0
fenetre;1637183122403590;18889;14
fenetre;1637183122403873;18934;15
fenetre;1637183122404007;18992;16
fenetre;1637183122404032;19016;17
fenetre;1637183122404088;19061;18
fenetre;1637183122404252;19117;19
fenetre;1637183122404383;19177;20
fenetre;1637183122404413;19200;21
fenetre;1637183122404478;19219;22
fenetre;1637183122404540;19246;23
fenetre;1637183122404572;19271;24
fenetre;1637183122404609;19289;25
fenetre;1637183122404665;19313;26
fenetre;1637183122404697;19332;27
fenetre;1637183122404986;19621;28
fenetre;1637183122405126;19640;29
fenetre;1637183122405168;19672;30
fenetre;1637183122405182;19687;31
fenetre;1637183122405234;19714;32
fenetre;1637183122405363;19745;33
fenetre;1637183122405377;19758;34
fenetre;1637183122405403;19781;35
timeout;1637183123409561;19813;0
fenetre;1637183123409953;20205;17
fenetre;1637183123410163;20241;18
fenetre;1637183123410252;20288;19
fenetre;1637183123410391;20352;20
fenetre;1637183123410414;20374;21
fenetre;1637183123410511;20419;22
fenetre;1637183123410542;20451;23
fenetre;1637183123410651;20476;24
fenetre;1637183123410681;20491;25
fenetre;1637183123410773;20529;26
fenetre;1637183123410794;20549;27
fenetre;1637183123410802;20558;28
timeout;1637183124415859;20586;0
fenetre;1637183124416174;20899;14
fenetre;1637183124416506;20946;15
fenetre;1637183124416551;20982;16
fenetre;1637183124416660;21028;17
fenetre;1637183124416742;21079;18
fenetre;1637183124416811;21124;19
fenetre;1637183124416904;21153;20
fenetre;1637183124416982;21195;21
fenetre;1637183124417091;21230;22
fenetre;1637183124417128;21255;23
fenetre;1637183124417165;21274;24
fenetre;1637183124417248;21289;25
fenetre;1637183124417265;21306;26
fenetre;1637183124417272;21313;27
fenetre;1637183124417581;21614;28
fenetre;1637183124417607;21631;29
fenetre;1637183124417686;21650;30
fenetre;1637183124417720;21668;31
fenetre;1637183124417793;21741;32
fenetre;1637183124417903;21765;33
fenetre;1637183124417917;21778;34
fenetre;1637183124417950;21796;35
timeout;1637183125423012;21830;0
fenetre;1637183125423372;22189;17
fenetre;1637183125423651;22237;18
fenetre;1637183125423679;22265;19
fenetre;1637183125423842;22306;20
fenetre;1637183125423865;22330;21
fenetre;1637183125423965;22370;22
fenetre;1637183125424016;22409;23
fenetre;1637183125424146;22442;24
fenetre;1637183125424251;22482;25
fenetre;1637183125424325;22515;26
fenetre;1637183125424353;22540;27
fenetre;1637183125424405;22567;28
