type;temps;clock;fen
debut;1637177362799587;2208;0
fenetre;1637177362800865;2390;1
fenetre;1637177362801084;2425;2
fenetre;1637177362801287;2441;3
fenetre;1637177362801326;2481;4
fenetre;1637177362801481;2499;5
fenetre;1637177362801490;2508;6
fenetre;1637177362801530;2523;7
fenetre;1637177362801635;2629;8
fenetre;1637177362801765;2650;9
fenetre;1637177362801781;2663;10
fenetre;1637177362801807;2676;11
fenetre;1637177362801825;2688;12
fenetre;1637177362801840;2698;13
fenetre;1637177362801855;2704;14
fenetre;1637177362801887;2717;15
fenetre;1637177362801998;2829;16
fenetre;1637177362802163;2852;17
fenetre;1637177362802173;2862;18
fenetre;1637177362802196;2878;19
fenetre;1637177362802216;2889;20
fenetre;1637177362802241;2901;21
fenetre;1637177362802278;2922;22
fenetre;1637177362802321;2940;23
fenetre;1637177362802355;2961;24
fenetre;1637177362802423;2991;25
fenetre;1637177362802484;3009;26
fenetre;1637177362802519;3029;27
fenetre;1637177362802529;3038;28
fenetre;1637177362802547;3047;29
fenetre;1637177362802562;3055;30
fenetre;1637177362802588;3065;31
fenetre;1637177362803039;3446;32
fenetre;1637177362803050;3456;33
fenetre;1637177362803054;3461;34
fenetre;1637177362803059;3465;35
fenetre;1637177362803063;3470;36
fenetre;1637177362803069;3476;37
fenetre;1637177362803073;3479;38
fenetre;1637177362803090;3493;39
fenetre;1637177362803119;3509;40
fenetre;1637177362803153;3524;41
fenetre;1637177362803176;3536;42
fenetre;1637177362803215;3554;43
fenetre;1637177362803245;3567;44
fenetre;1637177362803280;3575;45
fenetre;1637177362803322;3583;46
fenetre;1637177362803327;3588;47
fenetre;1637177362803365;3596;48
fenetre;1637177362803397;3606;49
fenetre;1637177362803426;3616;50
fenetre;1637177362803453;3626;51
fenetre;1637177362803492;3644;52
fenetre;1637177362803519;3658;53
fenetre;1637177362803552;3668;54
fenetre;1637177362803580;3678;55
fenetre;1637177362803645;3687;56
fenetre;1637177362803651;3693;57
fenetre;1637177362803669;3707;58
fenetre;1637177362803707;3721;59
fenetre;1637177362803730;3730;60
fenetre;1637177362803758;3740;61
fenetre;1637177362803775;3749;62
fenetre;1637177362803796;3760;63
fenetre;1637177362804301;4259;64
fenetre;1637177362804307;4264;65
fenetre;1637177362804311;4269;66
fenetre;1637177362804315;4273;67
fenetre;1637177362804319;4276;68
fenetre;1637177362804323;4280;69
fenetre;1637177362804327;4284;70
fenetre;1637177362804331;4287;71
fenetre;1637177362804334;4292;72
fenetre;1637177362804338;4295;73
fenetre;1637177362804342;4299;74
fenetre;1637177362804347;4304;75
fenetre;1637177362804351;4308;76
fenetre;1637177362804363;4316;77
fenetre;1637177362804415;4324;78
fenetre;1637177362804441;4334;79
fenetre;1637177362804510;4343;80
fenetre;1637177362804516;4349;81
fenetre;1637177362804533;4362;82
fenetre;1637177362804568;4374;83
fenetre;1637177362804590;4385;84
fenetre;1637177362804617;4395;85
fenetre;1637177362804655;4402;86
fenetre;1637177362804677;4410;87
fenetre;1637177362804711;4420;88
fenetre;1637177362804743;4429;89
fenetre;1637177362804767;4438;90
fenetre;1637177362804808;4447;91
fenetre;1637177362804836;4455;92
fenetre;1637177362804860;4464;93
fenetre;1637177362804892;4473;94
fenetre;1637177362804933;4488;95
fenetre;1637177362804951;4501;96
fenetre;1637177362804981;4512;97
fenetre;1637177362805013;4521;98
fenetre;1637177362805043;4530;99
fenetre;1637177362805070;4539;100
fenetre;1637177362805098;4549;101
fenetre;1637177362805129;4558;102
