type;temps;clock;fen
debut;1637177517079302;1816;0
fenetre;1637177517080147;1927;1
fenetre;1637177517080348;1970;2
fenetre;1637177517080591;1989;3
fenetre;1637177517080636;2033;4
fenetre;1637177517080822;2046;5
fenetre;1637177517080839;2058;6
fenetre;1637177517080860;2067;7
fenetre;1637177517080929;2132;8
fenetre;1637177517081100;2149;9
fenetre;1637177517081131;2165;10
fenetre;1637177517081161;2178;11
fenetre;1637177517081175;2186;12
fenetre;1637177517081193;2195;13
fenetre;1637177517081220;2213;14
fenetre;1637177517081230;2222;15
fenetre;1637177517081368;2347;16
fenetre;1637177517081374;2354;17
fenetre;1637177517081409;2369;18
fenetre;1637177517081435;2382;19
fenetre;1637177517081461;2392;20
fenetre;1637177517081491;2402;21
fenetre;1637177517081524;2412;22
fenetre;1637177517081554;2422;23
fenetre;1637177517081581;2431;24
fenetre;1637177517081618;2445;25
fenetre;1637177517081646;2458;26
fenetre;1637177517081676;2466;27
fenetre;1637177517081714;2486;28
fenetre;1637177517081737;2498;29
fenetre;1637177517081766;2507;30
fenetre;1637177517081786;2518;31
fenetre;1637177517082039;2766;32
fenetre;1637177517082047;2774;33
fenetre;1637177517082051;2778;34
fenetre;1637177517082056;2783;35
fenetre;1637177517082060;2787;36
fenetre;1637177517082073;2795;37
fenetre;1637177517082102;2804;38
fenetre;1637177517082132;2814;39
fenetre;1637177517082164;2826;40
fenetre;1637177517082197;2838;41
fenetre;1637177517082223;2848;42
fenetre;1637177517082257;2857;43
fenetre;1637177517082284;2867;44
fenetre;1637177517082316;2876;45
fenetre;1637177517082345;2885;46
fenetre;1637177517082379;2894;47
fenetre;1637177517082406;2903;48
fenetre;1637177517082438;2912;49
fenetre;1637177517082466;2921;50
fenetre;1637177517082500;2930;51
fenetre;1637177517082528;2939;52
fenetre;1637177517082561;2948;53
fenetre;1637177517082590;2957;54
fenetre;1637177517082624;2966;55
fenetre;1637177517082651;2975;56
fenetre;1637177517082684;2984;57
fenetre;1637177517082712;2993;58
fenetre;1637177517082745;3003;59
fenetre;1637177517082773;3012;60
fenetre;1637177517082804;3021;61
fenetre;1637177517082837;3035;62
fenetre;1637177517082852;3044;63
fenetre;1637177517083354;3537;64
fenetre;1637177517083363;3545;65
fenetre;1637177517083367;3550;66
fenetre;1637177517083372;3554;67
fenetre;1637177517083375;3558;68
fenetre;1637177517083379;3562;69
fenetre;1637177517083384;3566;70
fenetre;1637177517083388;3570;71
fenetre;1637177517083393;3575;72
fenetre;1637177517083397;3580;73
fenetre;1637177517083401;3583;74
fenetre;1637177517083405;3588;75
fenetre;1637177517083409;3592;76
fenetre;1637177517083413;3595;77
fenetre;1637177517083431;3604;78
fenetre;1637177517083457;3613;79
fenetre;1637177517083490;3623;80
fenetre;1637177517083519;3632;81
fenetre;1637177517083550;3642;82
fenetre;1637177517083578;3651;83
fenetre;1637177517083613;3661;84
fenetre;1637177517083640;3670;85
fenetre;1637177517083672;3679;86
fenetre;1637177517083700;3688;87
fenetre;1637177517083732;3698;88
fenetre;1637177517083761;3706;89
fenetre;1637177517083793;3714;90
fenetre;1637177517083821;3723;91
fenetre;1637177517083855;3733;92
fenetre;1637177517083883;3741;93
fenetre;1637177517083916;3751;94
fenetre;1637177517083944;3760;95
fenetre;1637177517083976;3769;96
fenetre;1637177517084005;3778;97
fenetre;1637177517084045;3786;98
fenetre;1637177517084073;3795;99
fenetre;1637177517084108;3802;100
fenetre;1637177517084149;3813;101
fenetre;1637177517084173;3823;102
fenetre;1637177517084206;3834;103
fenetre;1637177517084237;3845;104
fenetre;1637177517084264;3854;105
fenetre;1637177517084296;3864;106
fenetre;1637177517084326;3874;107
fenetre;1637177517084355;3883;108
fenetre;1637177517084384;3892;109
fenetre;1637177517084416;3901;110
fenetre;1637177517084444;3910;111
fenetre;1637177517084475;3918;112
fenetre;1637177517084505;3928;113
fenetre;1637177517084534;3937;114
fenetre;1637177517084566;3946;115
fenetre;1637177517084596;3955;116
fenetre;1637177517084627;3964;117
fenetre;1637177517084655;3972;118
fenetre;1637177517084687;3982;119
fenetre;1637177517084716;3991;120
fenetre;1637177517084745;4000;121
fenetre;1637177517084778;4008;122
fenetre;1637177517084807;4017;123
fenetre;1637177517084859;4069;124
fenetre;1637177517084864;4075;125
fenetre;1637177517084896;4083;126
fenetre;1637177517084916;4093;127
fenetre;1637177517085897;5067;128
fenetre;1637177517085903;5073;129
fenetre;1637177517085907;5076;130
fenetre;1637177517085912;5082;131
fenetre;1637177517085917;5086;132
fenetre;1637177517085921;5090;133
fenetre;1637177517085925;5094;134
fenetre;1637177517085929;5097;135
fenetre;1637177517085933;5102;136
fenetre;1637177517085937;5106;137
fenetre;1637177517085943;5113;138
fenetre;1637177517085947;5116;139
fenetre;1637177517085951;5121;140
fenetre;1637177517085955;5124;141
fenetre;1637177517085959;5128;142
fenetre;1637177517085963;5133;143
fenetre;1637177517085967;5136;144
fenetre;1637177517085972;5142;145
fenetre;1637177517085976;5145;146
fenetre;1637177517085980;5150;147
fenetre;1637177517085984;5153;148
fenetre;1637177517085988;5157;149
fenetre;1637177517085992;5162;150
fenetre;1637177517085996;5165;151
fenetre;1637177517086002;5172;152
fenetre;1637177517086006;5175;153
fenetre;1637177517086010;5180;154
fenetre;1637177517086014;5183;155
fenetre;1637177517086019;5188;156
